glyph_name,ps_name,sort_design,sort_final
Utilde,Utilde,10290,10290
utilde,utilde,10291,10291
Umacron,Umacron,10292,10292
umacron,umacron,10293,10293
Ubreve,Ubreve,10294,10294
ubreve,ubreve,10295,10295
Uring,Uring,10296,10296
uring,uring,10297,10297
Uhungarumlaut,Uhungarumlaut,10298,10298
uhungarumlaut,uhungarumlaut,10299,10299
Uogonek,Uogonek,10300,10300
uogonek,uogonek,10301,10301
Wcircumflex,Wcircumflex,10302,10302
wcircumflex,wcircumflex,10303,10303
Ycircumflex,Ycircumflex,10304,10304
ycircumflex,ycircumflex,10305,10305
Ydieresis,Ydieresis,10306,10306
Zacute,Zacute,10307,10307
zacute,zacute,10308,10308
Zdotaccent,Zdotaccent,10309,10309
zdotaccent,zdotaccent,10310,10310
Zcaron,Zcaron,10311,10311
zcaron,zcaron,10312,10312
bstroke,bstroke,10313,10313
Schwa,Schwa,10314,10314
florin,florin,10315,10315
Ohorn,Ohorn,10316,10316
ohorn,ohorn,10317,10317
Uhorn,Uhorn,10318,10318
uhorn,uhorn,10319,10319
Acaron,Acaron,10320,10320
acaron,acaron,10321,10321
Icaron,Icaron,10322,10322
icaron,icaron,10323,10323
Ocaron,Ocaron,10324,10324
ocaron,ocaron,10325,10325
Ucaron,Ucaron,10326,10326
ucaron,ucaron,10327,10327
Udieresismacron,Udieresismacron,10328,10328
udieresismacron,udieresismacron,10329,10329
Udieresisacute,Udieresisacute,10330,10330
udieresisacute,udieresisacute,10331,10331
Udieresiscaron,Udieresiscaron,10332,10332
udieresiscaron,udieresiscaron,10333,10333
Udieresisgrave,Udieresisgrave,10334,10334
udieresisgrave,udieresisgrave,10335,10335
Gcaron,Gcaron,10336,10336
gcaron,gcaron,10337,10337
Oogonek,Oogonek,10338,10338
oogonek,oogonek,10339,10339
Scommaaccent,Scommaaccent,10340,10340
scommaaccent,scommaaccent,10341,10341
Tcommaaccent,Tcommaaccent,10342,10342
tcommaaccent,tcommaaccent,10343,10343
dotlessj,dotlessj,10344,10344
Bstroke,Bstroke,10345,10345
alphalatin,alphalatin,10346,10346
schwa,schwa,10347,10347
gscript,gscript,10348,10348
primemod,primemod,10354,10354
commaturnedmod,commaturnedmod,10355,10355
apostrophemod,apostrophemod,10356,10356
circumflex,circumflex,10357,10357
caron,caron,10358,10358
verticallinemod,verticallinemod,10359,10359
macronmod,macronmod,10360,10360
acutemod,acutemod,10361,10361
gravemod,gravemod,10362,10362
colontriangularmod,colontriangularmod,10363,10363
colontriangularhalfmod,colontriangularhalfmod,10364,10364
breve,breve,10365,10365
dotaccent,dotaccent,10366,10366
ring,ring,10367,10367
ogonek,ogonek,10368,10368
tilde,tilde,10369,10369
hungarumlaut,hungarumlaut,10370,10370
gravecmb,gravecmb,10374,10374
acutecmb,acutecmb,10375,10375
circumflexcmb,circumflexcmb,10376,10376
tildecmb,tildecmb,10377,10377
macroncmb,macroncmb,10378,10378
brevecmb,brevecmb,10379,10379
dotaccentcmb,dotaccentcmb,10380,10380
dieresiscmb,dieresiscmb,10381,10381
hoicmb,hoicmb,10382,10382
ringcmb,ringcmb,10383,10383
hungarumlautcmb,hungarumlautcmb,10384,10384
caroncmb,caroncmb,10385,10385
dblgravecmb,dblgravecmb,10386,10386
commaturnedabovecmb,commaturnedabovecmb,10387,10387
commaabovecmb,commaabovecmb,10388,10388
horncmb,horncmb,10389,10389
dotbelowcmb,dotbelowcmb,10390,10390
dieresisbelowcmb,dieresisbelowcmb,10391,10391
commabelowcmb,commabelowcmb,10392,10392
cedillacmb,cedillacmb,10393,10393
ogonekcmb,ogonekcmb,10394,10394
brevebelowcmb,brevebelowcmb,10395,10395
macronbelowcmb,macronbelowcmb,10396,10396
pi,pi,10397,10397
a.sups,a.sups,11001,11001
o.sups,o.sups,11008,11008
Blinebelow,Blinebelow,11016,11016
blinebelow,blinebelow,11017,11017
Ddotbelow,Ddotbelow,11018,11018
ddotbelow,ddotbelow,11019,11019
Dlinebelow,Dlinebelow,11020,11020
dlinebelow,dlinebelow,11021,11021
Emacronacute,Emacronacute,11022,11022
emacronacute,emacronacute,11023,11023
Gmacron,Gmacron,11024,11024
gmacron,gmacron,11025,11025
Hdotbelow,Hdotbelow,11026,11026
hdotbelow,hdotbelow,11027,11027
Hbrevebelow,Hbrevebelow,11028,11028
hbrevebelow,hbrevebelow,11029,11029
Klinebelow,Klinebelow,11030,11030
klinebelow,klinebelow,11031,11031
Ldotbelow,Ldotbelow,11032,11032
ldotbelow,ldotbelow,11033,11033
Ldotbelowmacron,Ldotbelowmacron,11034,11034
ldotbelowmacron,ldotbelowmacron,11035,11035
Llinebelow,Llinebelow,11036,11036
llinebelow,llinebelow,11037,11037
Mdotbelow,Mdotbelow,11038,11038
mdotbelow,mdotbelow,11039,11039
Ndotaccent,Ndotaccent,11040,11040
ndotaccent,ndotaccent,11041,11041
Ndotbelow,Ndotbelow,11042,11042
ndotbelow,ndotbelow,11043,11043
Nlinebelow,Nlinebelow,11044,11044
nlinebelow,nlinebelow,11045,11045
Omacronacute,Omacronacute,11046,11046
omacronacute,omacronacute,11047,11047
Rdotbelow,Rdotbelow,11048,11048
rdotbelow,rdotbelow,11049,11049
Rdotbelowmacron,Rdotbelowmacron,11050,11050
rdotbelowmacron,rdotbelowmacron,11051,11051
Rlinebelow,Rlinebelow,11052,11052
rlinebelow,rlinebelow,11053,11053
Sdotaccent,Sdotaccent,11054,11054
sdotaccent,sdotaccent,11055,11055
Sdotbelow,Sdotbelow,11056,11056
sdotbelow,sdotbelow,11057,11057
Tdotbelow,Tdotbelow,11058,11058
tdotbelow,tdotbelow,11059,11059
Tlinebelow,Tlinebelow,11060,11060
tlinebelow,tlinebelow,11061,11061
Wgrave,Wgrave,11062,11062
wgrave,wgrave,11063,11063
Wacute,Wacute,11064,11064
wacute,wacute,11065,11065
Wdieresis,Wdieresis,11066,11066
wdieresis,wdieresis,11067,11067
Ydotaccent,Ydotaccent,11068,11068
ydotaccent,ydotaccent,11069,11069
Zdotbelow,Zdotbelow,11070,11070
zdotbelow,zdotbelow,11071,11071
tdieresis,tdieresis,11072,11072
Germandbls,Germandbls,11073,11073
Adotbelow,Adotbelow,11074,11074
adotbelow,adotbelow,11075,11075
Ahoi,Ahoi,11076,11076
ahoi,ahoi,11077,11077
Acircumflexacute,Acircumflexacute,11078,11078
acircumflexacute,acircumflexacute,11079,11079
Acircumflexgrave,Acircumflexgrave,11080,11080
acircumflexgrave,acircumflexgrave,11081,11081
Acircumflexhoi,Acircumflexhoi,11082,11082
acircumflexhoi,acircumflexhoi,11083,11083
Acircumflextilde,Acircumflextilde,11084,11084
acircumflextilde,acircumflextilde,11085,11085
Acircumflexdotbelow,Acircumflexdotbelow,11086,11086
acircumflexdotbelow,acircumflexdotbelow,11087,11087
Abreveacute,Abreveacute,11088,11088
abreveacute,abreveacute,11089,11089
Abrevegrave,Abrevegrave,11090,11090
abrevegrave,abrevegrave,11091,11091
Abrevehoi,Abrevehoi,11092,11092
